station,status,n_test,baseline_RMSE,baseline_MAE,loso_RMSE,loso_MAE,loso_RMSE_gain_vs_baseline,loso_MAE_gain_vs_baseline
37472,ok,730,1.470234349039598,0.9860273972602739,1.479608360042499,1.0238975995462642,-0.009374011002901028,-0.03787020228599036
24125,ok,730,1.1271129320719533,0.7769863013698631,1.1430107387776234,0.8183984920184912,-0.015897806705670092,-0.04141219064862811
28411,ok,179,1.4501974436945904,1.1011173184357543,1.4998472273003758,1.1436496496166741,-0.049649783605785425,-0.04253233118091981
26258,ok,730,0.7383988601781077,0.5621917808219178,0.784634439894703,0.6062580656401864,-0.04623557971659531,-0.044066284818268575
24738,ok,730,1.8664118384442732,1.3469863013698629,1.9413270700813734,1.4007794788073946,-0.07491523163710023,-0.05379317743753176
34824,ok,728,0.9168897497446534,0.7225274725274725,0.9703790377585365,0.778731208568398,-0.053489288013883085,-0.056203736040925434
35121,ok,730,0.7310341708183754,0.5567123287671233,0.790932022167949,0.6135201120105641,-0.059897851349573594,-0.056807783243440824
24641,ok,729,1.746511317817536,1.2555555555555555,1.8223560351943977,1.3210157985116333,-0.07584471737686171,-0.06546024295607777
27612,ok,730,0.3721466789922107,0.2838356164383562,0.4526924488801192,0.34965661506599127,-0.08054576988790851,-0.06582099862763507
27947,ok,179,1.2018142709667918,0.9329608938547486,1.2834573844816262,1.0003822018865849,-0.08164311351483433,-0.06742130803183632
37099,ok,179,1.3121690857115964,0.9888268156424582,1.3940489519920107,1.0590583088115775,-0.08187986628041433,-0.07023149316911925
28440,ok,730,1.4512252735259774,0.972054794520548,1.5016720676513677,1.049155323029295,-0.050446794125390326,-0.07710052850874693
26063,ok,730,0.7558266815895955,0.5417808219178082,0.8349298887552661,0.6295445940076064,-0.07910320716567054,-0.08776377208979824
