station,n_calib,mae_model,mae_baseline,mae_seasonal,best_fallback,fallback_mae,use_fallback,calib_margin_to_fallback
31873,365,1.2815584639248387,1.3345205479452056,1.2923420783914426,seasonal,1.2923420783914426,0,-0.010783614466603808
24507,364,1.655254381561946,1.6873626373626376,1.6664330262203286,seasonal,1.6664330262203286,0,-0.011178644658382586
27459,365,0.9469764613562378,0.9583561643835615,0.9606788016501879,baseline,0.9583561643835615,0,-0.011379703027323718
24944,364,1.289575301098719,1.3057692307692306,1.302554180555089,seasonal,1.302554180555089,0,-0.012978879456370107
28722,365,0.8579169238867693,0.8958904109589038,0.8709750452840231,seasonal,0.8709750452840231,0,-0.013058121397253819
23933,365,0.9629931958693987,0.9767123287671233,0.9792931800678722,baseline,0.9767123287671233,0,-0.01371913289772464
25703,364,2.0609730791799454,2.1123626373626374,2.0749828507127828,seasonal,2.0749828507127828,0,-0.014009771532837334
21982,365,1.171415219541754,1.2167123287671233,1.1854822766365278,seasonal,1.1854822766365278,0,-0.01406705709477385
23891,364,1.4210743591626263,1.4549450549450547,1.4358675291637486,seasonal,1.4358675291637486,0,-0.014793170001122347
23472,365,1.4870590664464214,1.5046575342465756,1.5018837349163683,seasonal,1.5018837349163683,0,-0.0148246684699469
30230,365,1.2273612982695856,1.2435616438356165,1.2426778277644017,seasonal,1.2426778277644017,0,-0.0153165294948161
34861,365,0.5582542270299506,0.575890410958904,0.5735819776388298,seasonal,0.5735819776388298,0,-0.015327750608879143
22550,365,0.7021754140313714,0.717808219178082,0.7314080207978988,baseline,0.717808219178082,0,-0.015632805146710615
28434,364,1.2248748478725306,1.2494505494505495,1.241586652856251,seasonal,1.241586652856251,0,-0.01671180498372027
24688,365,1.8111809704256283,1.8846575342465757,1.8307639436079501,seasonal,1.8307639436079501,0,-0.019582973182321828
27595,365,0.8155719854711387,0.8517808219178081,0.8360273704485389,seasonal,0.8360273704485389,0,-0.02045538497740018
31960,365,1.3204050069294027,1.3572602739726027,1.3414104400882556,seasonal,1.3414104400882556,0,-0.02100543315885295
34163,275,1.172438205425543,1.2272727272727275,1.195531099064201,seasonal,1.195531099064201,0,-0.023092893638658074
34391,365,0.8894372664867224,0.9169863013698628,0.9197724628187025,baseline,0.9169863013698628,0,-0.027549034883140422
